,CREEDS_drug_id,Disease,DOID,Concept_ID,ICD9,,,,,,,,,
352,dz:428,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
353,dz:129,pain disorder Neurological,DOID:0060164,C0423704,729.2,,,,,,,,,
355,dz:725,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
356,dz:688,diffuse large B-cell lymphoma,DOID:0050745,,200.78,,,,,,,,,
357,dz:608,pancreatic intraductal papillary-mucinous adenoma,DOID:7851,C1518868,211.6,,,,,,,,,
358,dz:57,Hypertrophy,,C0020564,,,,,,,,,,
359,dz:616,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
360,dz:211,spinal cord injury,MONDO:0043797,C0037929,952,,,,,,,,,
361,dz:948,melanoma,DOID:1909,C0025202,172,,,,,,,,,
362,dz:612,obesity,DOID:9970,C0028754,278,,,,,,,,,
363,dz:908,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
364,dz:270,gastrointestinal stromal tumor,DOID:9253,C0238198,238.1,,,,,,,,,
365,dz:457,Wolfram syndrome,DOID:10632,C0043207,249.9,,,,,,,,,
366,dz:521,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
367,dz:195,arthritis,DOID:848,C0003864,714,,,,,,,,,
368,dz:1041,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
369,dz:724,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
370,dz:940,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
371,dz:786,chronic lymphocytic leukemia,DOID:1040,C0023458,204.1,,,,,,,,,
372,dz:857,atopic dermatitis,DOID:3310,C0011615,691.8,,,,,,,,,
373,dz:392,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
374,dz:483,pancreatic cancer,DOID:1793,C0153463,157.9,,,,,,,,,
375,dz:461,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
376,dz:257,primary open angle glaucoma,DOID:1070,C0339573,365.9,,,,,,,,,
377,dz:616,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
378,dz:114,Senescence,,C0001792,797,,,,,,,,,
379,dz:119,Carcinoma in situ of small intestine,,C0686083,230.7,,,,,,,,,
380,dz:169,Generalized seizures,HP:0002197,C0234533,345,,,,,,,,,
381,dz:930,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
382,dz:1060,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
383,dz:835,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
384,dz:342,Generalized seizures,HP:0002197,C0234533,345,,,,,,,,,
385,dz:913,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
386,dz:323,dilated cardiomyopathy,DOID:12930,C0007193,425.4,,,,,,,,,
387,dz:436,allergic asthma,DOID:9415,C0155877,493.92,,,,,,,,,
388,dz:747,myelodysplastic syndrome,DOID:0050908,,238.75,,,,,,,,,
389,dz:203,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
390,dz:407,hepatocellular carcinoma,DOID:684,C0019204,155,,,,,,,,,
391,dz:690,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
392,dz:662,colon cancer,DOID:219,C0007102,153.9,,,,,,,,,
393,dz:349,Intestinal metaplasia of gastric mucosa,,C0267187,537.89,,,,,,,,,
394,dz:127,Yersinia enterocolitica infectious disease,MONDO:0042370,C0238528,8.44,,,,,,,,,
395,dz:893,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
396,dz:1022,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
397,dz:698,pancreatic ductal adenocarcinoma,DOID:3498,C1335302,157.3,,,,,,,,,
398,dz:574,arthritis,DOID:848,C0003864,714,,,,,,,,,
399,dz:1059,Turner syndrome,DOID:3491,C1527168,758.6,,,,,,,,,
400,dz:594,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
401,dz:1075,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
402,dz:480,Treacher Collins syndrome,DOID:2908,C0242387,756,,,,,,,,,
403,dz:749,myelodysplastic syndrome,DOID:0050908,,238.75,,,,,,,,,
404,dz:295,oral cavity squamous cell carcinoma,MONDO:0004958,C0585362,145.9,,,,,,,,,
405,dz:1047,intellectual disability,DOID:1059,C0025362,319,,,,,,,,,
406,dz:870,Pompe disease  infantile-onset form,,C0342751,271,,,,,,,,,
407,dz:643,Barrett's esophagus,DOID:9206,C0004763,530.85,,,,,,,,,
408,dz:110,rheumatoid arthritis,DOID:7148,C0003873,714,,,,,,,,,
409,dz:196,chronic obstructive pulmonary disease,DOID:3083,C0024117,491.21,,,,,,,,,
410,dz:4,chronic myeloid leukemia,DOID:8552,C0023473,205.1,,,,,,,,,
411,dz:27,gastroesophageal reflux disease,DOID:8534,C0017168,530.81,,,,,,,,,
412,dz:507,sickle cell anemia,DOID:10923,C0019034,282.6,,,,,,,,,
413,dz:503,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
414,dz:540,facioscapulohumeral muscular dystrophy,DOID:11727,C0238288,359.1,,,,,,,,,
415,dz:870,Pompe disease  infantile-onset form,,C0342751,271,,,,,,,,,
416,dz:1025,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
417,dz:588,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
418,dz:906,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
419,dz:815,urticaria,DOID:1555,C0029839,708.9,,,,,,,,,
420,dz:440,Hypoxia,,C0242184,768,,,,,,,,,
421,dz:299,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
422,dz:598,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
423,dz:966,Wilson disease,DOID:893,C0019202,275.1,,,,,,,,,
424,dz:111,anxiety disorder,DOID:2030,C0003469,300,,,,,,,,,
425,dz:1033,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
426,dz:246,testicular cancer,DOID:2998,C0153594,186.9,,,,,,,,,
427,dz:434,hemorrhagic thrombocythemia,DOID:2224,C0040028,238.71,,,,,,,,,
428,dz:784,Waldenstrom macroglobulinemia,MONDO:0007926,C0024419,273.3,,,,,,,,,
429,dz:651,colon carcinoma,DOID:1520,C0699790,153.9,,,,,,,,,
430,dz:321,idiopathic interstitial pneumonia,DOID:2797,C0085786,516.3,,,,,,,,,
431,dz:573,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
432,dz:288,Alcohol poisoning,,C0392620,303,,,,,,,,,
433,dz:12,sarcoidosis,DOID:11335,C0036202,135,,,,,,,,,
434,dz:325,nicotine dependence,DOID:0050742,C0028043,305.1,,,,,,,,,
435,dz:856,Ischemic stroke,,C0948008,414,,,,,,,,,
436,dz:244,Tachycardia,HP:0001649,C0039231,785,,,,,,,,,
437,dz:871,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
438,dz:133,bacterial infectious disease,DOID:104,C0004623,,,,,,,,,,
439,dz:820,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
440,dz:664,renal cell carcinoma,DOID:4450,C0007134,189,,,,,,,,,
441,dz:544,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
442,dz:312,Retinal damage,,C0235272,361,,,,,,,,,
443,dz:253,thrombocytopenia,DOID:1588,C0040034,287.5,,,,,,,,,
444,dz:477,alcoholic hepatitis,DOID:12351,C0001306,571.1,,,,,,,,,
445,dz:301,cystitis,DOID:1679,C0010692,595.9,,,,,,,,,
446,dz:780,cardiomyopathy,DOID:0050700,,425,,,,,,,,,
447,dz:228,dry eye syndrome,DOID:10140,C0013238,375.15,,,,,,,,,
448,dz:357,schizophrenia,DOID:5419,C0036341,259.1,,,,,,,,,
449,dz:1029,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
450,dz:657,skin squamous cell carcinoma,DOID:3151,C0553723,173.92,,,,,,,,,
451,dz:422,nutritional deficiency disease,MONDO:0006873,C0267975,269.9,,,,,,,,,
452,dz:300,hepatocellular carcinoma,DOID:684,C0019204,155,,,,,,,,,
453,dz:722,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
454,dz:474,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
455,dz:492,glomerulosclerosis,DOID:0050851,,582.1,,,,,,,,,
456,dz:953,Abnormal sperm morphology,HP:0012864,C0919628,792.2,,,,,,,,,
457,dz:446,Hypoxia,,C0242184,768,,,,,,,,,
458,dz:703,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
459,dz:311,Gamma-hydroxybutyric acidaemia,,C0268631,279,,,,,,,,,
460,dz:451,alcohol abuse,DOID:1574,C0085762,305,,,,,,,,,
461,dz:655,in situ carcinoma,DOID:8719,C0007099,233,,,,,,,,,
462,dz:468,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
463,dz:238,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
464,dz:424,aplastic anemia,DOID:12449,C0002874,284.9,,,,,,,,,
465,dz:386,Infection by Aspergillus fumigatus,,C0276655,117.3,,,,,,,,,
466,dz:510,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
467,dz:543,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
468,dz:603,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
469,dz:407,hepatocellular carcinoma,DOID:684,C0019204,155,,,,,,,,,
470,dz:547,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
471,dz:1054,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
472,dz:786,chronic lymphocytic leukemia,DOID:1040,C0023458,204.1,,,,,,,,,
473,dz:880,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
474,dz:681,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
475,dz:114,Senescence,,C0001792,797,,,,,,,,,
476,dz:137,familial combined hyperlipidemia,DOID:13809,C0020474,272.2,,,,,,,,,
477,dz:152,acute lung injury,MONDO:0015796,C0242488,,,,,,,,,,
478,dz:818,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
479,dz:759,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
480,dz:592,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
481,dz:270,gastrointestinal stromal tumor,DOID:9253,C0238198,238.1,,,,,,,,,
482,dz:776,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
483,dz:388,Hypotensive episode,,C0520541,458,,,,,,,,,
484,dz:226,schizophrenia,DOID:5419,C0036341,259.1,,,,,,,,,
485,dz:753,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
486,dz:608,pancreatic intraductal papillary-mucinous adenoma,DOID:7851,C1518868,211.6,,,,,,,,,
487,dz:205,Gamma-hydroxybutyric acidaemia,,C0268631,279,,,,,,,,,
488,dz:809,fragile X syndrome,DOID:14261,C0016667,759.83,,,,,,,,,
489,dz:426,spinal cord injury,MONDO:0043797,C0037929,952,,,,,,,,,
490,dz:567,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
491,dz:178,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
492,dz:481,sickle cell anemia,DOID:10923,C0019034,282.6,,,,,,,,,
493,dz:600,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
494,dz:496,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
495,dz:747,myelodysplastic syndrome,DOID:0050908,,238.75,,,,,,,,,
496,dz:746,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
497,dz:689,discoid lupus erythematosus,MONDO:0019558,C0024138,695.4,,,,,,,,,
498,dz:367,cocaine dependence,DOID:9975,C0600427,304.2,,,,,,,,,
499,dz:179,Decompensated cardiac failure,,C0581377,428,,,,,,,,,
500,dz:1030,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
501,dz:732,lung large cell carcinoma,DOID:4556,C0345958,162.9,,,,,,,,,
502,dz:43,Rotavirus infection children,MONDO:0005194,C1442797,8.61,,,,,,,,,
504,dz:441,lung squamous cell carcinoma,DOID:3907,C0149782,162.9,,,,,,,,,
505,dz:868,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
506,dz:983,silicosis,DOID:10325,C0037116,502,,,,,,,,,
507,dz:1006,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
508,dz:905,nephrosclerosis,DOID:11664,C0027719,403.9,,,,,,,,,
509,dz:779,rheumatoid arthritis,DOID:7148,C0003873,714,,,,,,,,,
510,dz:610,pancreatic invasive intraductal papillary-mucinous carcinoma,DOID:8150,C1518871,211.6,,,,,,,,,
511,dz:1003,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
512,dz:133,bacterial infectious disease,DOID:104,C0004623,,,,,,,,,,
513,dz:669,neurofibromatosis,DOID:8712,C0220695,237.7,,,,,,,,,
514,dz:494,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
515,dz:558,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
516,dz:443,Dehydration,HP:0001944,C0011175,276.5,,,,,,,,,
517,dz:589,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
518,dz:16,uterine fibroid,DOID:13223,C0042133,218,,,,,,,,,
519,dz:72,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
520,dz:321,idiopathic interstitial pneumonia,DOID:2797,C0085786,516.3,,,,,,,,,
521,dz:949,melanoma,DOID:1909,C0025202,172,,,,,,,,,
522,dz:592,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
523,dz:1000,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
524,dz:11,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
525,dz:619,cervical cancer,DOID:4362,C0007873,180,,,,,,,,,
526,dz:405,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
527,dz:781,cardiomyopathy,DOID:0050700,,425,,,,,,,,,
528,dz:304,Idiosyncratic drug effect,,C0277580,995.29,,,,,,,,,
529,dz:27,gastroesophageal reflux disease,DOID:8534,C0017168,530.81,,,,,,,,,
530,dz:307,Septic Shock,,C0036983,785.52,,,,,,,,,
531,dz:1061,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
532,dz:735,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
533,dz:189,diabetic retinopathy,DOID:8947,C0011884,362,,,,,,,,,
534,dz:315,hepatocellular carcinoma,DOID:684,C0019204,155,,,,,,,,,
535,dz:829,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
536,dz:552,colorectal cancer,DOID:9256,C1527249,153,,,,,,,,,
537,dz:757,Crohn's disease,DOID:8778,C0156146,555.9,,,,,,,,,
538,dz:1063,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
539,dz:802,acute myocarditis,DOID:3951,C0155686,422,,,,,,,,,
540,dz:667,neurofibromatosis,DOID:8712,C0220695,237.7,,,,,,,,,
541,dz:462,mental depression,DOID:1596,C0011570,311,,,,,,,,,
542,dz:767,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
543,dz:160,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
544,dz:116,oligodendroglioma,DOID:3181,C0028945,192.9,,,,,,,,,
545,dz:792,anemia,DOID:2355,C0002871,285,,,,,,,,,
546,dz:334,dermatomyositis,DOID:10223,C0011633,710.3,,,,,,,,,
547,dz:666,neurofibromatosis,DOID:8712,C0220695,237.7,,,,,,,,,
548,dz:866,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
549,dz:350,actinic keratosis,DOID:8866,C0022602,702,,,,,,,,,
550,dz:951,melanoma,DOID:1909,C0025202,172,,,,,,,,,
551,dz:358,autoimmune thrombocytopenic purpura,DOID:8924,C0043117,287.31,,,,,,,,,
552,dz:177,gingival fibromatosis,DOID:0060466,C0399440,523.8,,,,,,,,,
553,dz:298,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
554,dz:750,myelodysplastic syndrome,DOID:0050908,,238.75,,,,,,,,,
555,dz:553,stomach cancer,DOID:10534,C0153423,151.9,,,,,,,,,
556,dz:581,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
557,dz:1037,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
558,dz:919,bronchopulmonary dysplasia,DOID:11650,C0006287,770.7,,,,,,,,,
559,dz:528,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
560,dz:445,Hemorrhagic shock,,C0036982,785.59,,,,,,,,,
561,dz:605,ductal carcinoma in situ,DOID:0060074,,233,,,,,,,,,
562,dz:510,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
563,dz:685,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
564,dz:586,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
565,dz:926,allergic contact dermatitis,DOID:3042,C0162820,692.9,,,,,,,,,
566,dz:599,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
567,dz:585,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
568,dz:614,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
569,dz:79,cardiomyopathy,DOID:0050700,C0878544,425,,,,,,,,,
570,dz:135,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
571,dz:635,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
572,dz:1074,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
573,dz:251,oligodendroglioma,DOID:3181,C0028945,192.9,,,,,,,,,
574,dz:768,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
575,dz:940,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
576,dz:612,obesity,DOID:9970,C0028754,278,,,,,,,,,
577,dz:866,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
578,dz:572,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
579,dz:5,Cardiac Hypertrophy,,C1383860,429.3,,,,,,,,,
580,dz:656,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
581,dz:671,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
582,dz:672,facioscapulohumeral muscular dystrophy,DOID:11727,C0238288,359.1,,,,,,,,,
583,dz:271,arthropathy,DOID:381,C0022408,716,,,,,,,,,
584,dz:849,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
585,dz:23,Dehydration,HP:0001944,C0011175,276.5,,,,,,,,,
586,dz:130,dermatomyositis,DOID:10223,C0011633,710.3,,,,,,,,,
587,dz:512,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
588,dz:1050,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
589,dz:775,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
590,dz:644,esophagus adenocarcinoma,DOID:4914,C0279628,150.9,,,,,,,,,
591,dz:482,leukemia,DOID:1240,C0023418,208,,,,,,,,,
592,dz:498,swine influenza,DOID:0050211,,488.89,,,,,,,,,
593,dz:197,simian acquired immunodeficiency syndrome,DOID:621,C0080151,42,,,,,,,,,
594,dz:334,dermatomyositis,DOID:10223,C0011633,710.3,,,,,,,,,
595,dz:88,cardiomyopathy,DOID:0050700,C0878544,425,,,,,,,,,
596,dz:1004,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
597,dz:682,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
598,dz:728,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
599,dz:434,hemorrhagic thrombocythemia,DOID:2224,C0040028,238.71,,,,,,,,,
600,dz:161,Senescence,C0001792,,797,,,,,,,,,
601,dz:903,Williams-Beuren syndrome,DOID:1928,C0175702,758.9,,,,,,,,,
602,dz:580,arthritis,DOID:848,C0003864,714,,,,,,,,,
603,dz:152,acute lung injury,MONDO:0015796,C0242488,,,,,,,,,,
604,dz:403,chronic myeloid leukemia,DOID:8552,C0023473,205.1,,,,,,,,,
605,dz:819,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
606,dz:437,myocardial infarction,DOID:5844,C0027051,410,,,,,,,,,
607,dz:882,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
608,dz:502,colon cancer,DOID:219,C0007102,153.9,,,,,,,,,
609,dz:725,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
610,dz:918,bronchopulmonary dysplasia,DOID:11650,C0006287,770.7,,,,,,,,,
611,dz:523,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
612,dz:849,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
613,dz:694,Wolfram syndrome,DOID:10632,C0043207,249.9,,,,,,,,,
614,dz:832,pulmonary tuberculosis,DOID:2957,C0041327,11.9,,,,,,,,,
615,dz:707,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
616,dz:955,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
617,dz:683,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
618,dz:768,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
619,dz:787,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
620,dz:504,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
621,dz:109,sickle cell anemia,DOID:10923,C0002895,282.6,,,,,,,,,
622,dz:145,cocaine dependence,DOID:9975,C0600427,304.2,,,,,,,,,
623,dz:1021,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
624,dz:785,Waldenstrom macroglobulinemia,MONDO:0007926,C0024419,273.3,,,,,,,,,
625,dz:692,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
626,dz:676,Emery-Dreifuss muscular dystrophy,DOID:11726,C0410189,359.1,,,,,,,,,
627,dz:501,chronic myeloid leukemia,DOID:8552,C0023473,205.1,,,,,,,,,
628,dz:18,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
629,dz:910,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
630,dz:412,essential hypertension,DOID:10825,C0085580,401,,,,,,,,,
631,dz:412,essential hypertension,DOID:10825,C0085580,401,,,,,,,,,
632,dz:800,colitis,DOID:0060180,C0009319,558.9,,,,,,,,,
633,dz:466,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
634,dz:686,diffuse large B-cell lymphoma,DOID:0050745,,200.78,,,,,,,,,
635,dz:200,myocardial infarction,DOID:5844,C0027051,410,,,,,,,,,
636,dz:681,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
637,dz:333,hepatocellular carcinoma,DOID:684,C0019204,155,,,,,,,,,
638,dz:522,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
639,dz:207,lymphedema,DOID:4977,C0024236,457.1,,,,,,,,,
640,dz:1036,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
641,dz:803,precursor B lymphoblastic lymphoma/leukemia,DOID:7061,C0862030,208,,,,,,,,,
642,dz:403,chronic myeloid leukemia,DOID:8552,C0023473,205.1,,,,,,,,,
643,dz:916,pulmonary sarcoidosis,DOID:13406,C0036205,517.8,,,,,,,,,
644,dz:788,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
645,dz:662,colon cancer,DOID:219,C0007102,153.9,,,,,,,,,
646,dz:1049,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
647,dz:195,arthritis,DOID:848,C0003864,714,,,,,,,,,
648,dz:324,Rhinovirus infection,,C0276447,79.3,,,,,,,,,
649,dz:912,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
650,dz:837,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
651,dz:75,Heart Injury,,C0018805,861,,,,,,,,,
652,dz:706,inclusion body myositis,DOID:3429,C0238190,359.71,,,,,,,,,
653,dz:613,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
654,dz:79,cardiomyopathy,DOID:0050700,C0878544,425,,,,,,,,,
655,dz:520,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
656,dz:16,uterine fibroid,DOID:13223,C0042133,218,,,,,,,,,
657,dz:683,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
658,dz:561,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
659,dz:333,hepatocellular carcinoma,DOID:684,C0019204,155,,,,,,,,,
660,dz:144,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
661,dz:951,melanoma,DOID:1909,C0025202,172,,,,,,,,,
662,dz:141,infantile neuronal ceroid lipofuscinosis,MONDO:0019261,C0268281,330.1,,,,,,,,,
663,dz:872,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
664,dz:426,spinal cord injury,MONDO:0043797,C0037929,952,,,,,,,,,
665,dz:990,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
666,dz:731,adenosquamous cell lung carcinoma,DOID:4829,C0279557,162.9,,,,,,,,,
667,dz:839,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
668,dz:78,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
669,dz:72,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
670,dz:361,stomach cancer,DOID:10534,C0024623,151.9,,,,,,,,,
671,dz:839,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
672,dz:567,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
673,dz:298,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
674,dz:317,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
675,dz:170,Pseudomonas infection,MONDO:0005141,C0033817,41.7,,,,,,,,,
676,dz:310,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
677,dz:737,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
678,dz:909,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
679,dz:406,pulmonary fibrosis,DOID:3770,C0034069,516.31,,,,,,,,,
680,dz:687,diffuse large B-cell lymphoma,DOID:0050745,,200.78,,,,,,,,,
681,dz:517,progressive myoclonus epilepsy,DOID:891,C0751778,345.1,,,,,,,,,
682,dz:185,NASH,,C0400966,571.8,,,,,,,,,
683,dz:720,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
684,dz:796,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
685,dz:285,focal facial dermal dysplasia type III,MONDO:0009203,C1744559,,,,,,,,,,
686,dz:984,progeria,DOID:3911,C0033300,259.8,,,,,,,,,
687,dz:867,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
688,dz:455,retinoblastoma,DOID:768,C0035335,190.5,,,,,,,,,
689,dz:329,dystonia,DOID:543,C0393593,333.7,,,,,,,,,
690,dz:456,chronic myeloid leukemia,DOID:8552,C0023473,205.1,,,,,,,,,
691,dz:856,Ischemic stroke,,C0948008,414,,,,,,,,,
692,dz:65,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
693,dz:825,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
694,dz:204,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
695,dz:1042,autistic disorder,DOID:12849,C0004352,299,,,,,,,,,
696,dz:694,Wolfram syndrome,DOID:10632,C0043207,249.9,,,,,,,,,
697,dz:757,Crohn's disease,DOID:8778,C0156146,555.9,,,,,,,,,
